"","name","month","value","measure","mode","inflation","category"
"1","батон",2021-08-01,8.47,"min",0.4,NA,"хліб"
"2","хліб цільнозерновий",2021-08-01,48.5,"min",0.3,NA,"хліб"
"3","хліб житньо-пшеничний",2021-08-01,30.9333333333333,"min",0.4,NA,"хліб"
"4","хліб пшеничний",2021-08-01,21.08,"min",0.6,NA,"хліб"
"5","торти",2021-08-01,122.654545454545,"min",0.85,NA,"солодощі"
"6","банани",2021-08-01,21.9,"min",1,NA,"фрукти"
"7","лимони",2021-08-01,42.9,"min",1,NA,"фрукти"
"8","кавуни",2021-08-01,5.9,"min",1,NA,"фрукти"
"9","виноград",2021-08-01,49.9,"min",1,NA,"фрукти"
"10","яблука",2021-08-01,19.9,"min",1,NA,"фрукти"
"11","апельсини",2021-08-01,45.9,"min",1,NA,"фрукти"
"12","ягоди",2021-08-01,149.9,"min",0.25,NA,"фрукти"
"13","ківі",2021-08-01,99.5,"min",1,NA,"фрукти"
"14","мандарини",2021-08-01,43.9,"min",1,NA,"фрукти"
"15","морква",2021-08-01,5.9,"min",1,NA,"овочі"
"16","кабачки",2021-08-01,10,"min",1,NA,"овочі"
"17","баклажани",2021-08-01,12.9,"min",1,NA,"овочі"
"18","перець солодкий",2021-08-01,18.9,"min",1,NA,"овочі"
"19","цибуля ріпчаста",2021-08-01,9.4,"min",1,NA,"овочі"
"20","картопля",2021-08-01,6.8,"min",1,NA,"овочі"
"21","буряк",2021-08-01,6.5,"min",1,NA,"овочі"
"22","капуста білокачанна",2021-08-01,5.4,"min",1,NA,"овочі"
"23","помідори",2021-08-01,106,"min",0.25,NA,"овочі"
"24","часник",2021-08-01,69.9,"min",1,NA,"овочі"
"25","огірки",2021-08-01,21.9,"min",1,NA,"овочі"
"26","гриби",2021-08-01,45.9,"min",0.25,NA,"овочі"
"27","салати",2021-08-01,29.9,"min",1,NA,"овочі"
"28","сухофрукти",2021-08-01,61.9,"min",0.2,NA,"сухофрукти"
"29","цукати",2021-08-01,227.133333333333,"min",0.15,NA,"солодощі"
"30","сири розсольні",2021-08-01,116.333333333333,"min",1,NA,"молочна продукція та яйця"
"31","сири плавлені",2021-08-01,139.060606060606,"min",0.09,NA,"молочна продукція та яйця"
"32","крем-сир",2021-08-01,86.91,"min",0.125,NA,"молочна продукція та яйця"
"33","молоко пастеризоване жирністю до 2,6% включно",2021-08-01,23.2716650438169,"min",0.9,NA,"молочна продукція та яйця"
"34","молоко з підвищеним вмістом жиру",2021-08-01,24.2453748782863,"min",0.95,NA,"молочна продукція та яйця"
"35","сири м’які нежирні",2021-08-01,101.5,"min",0.2,NA,"молочна продукція та яйця"
"36","сирки та сиркова маса",2021-08-01,132.222222222222,"min",0.2,NA,"молочна продукція та яйця"
"37","сири м’які жирні",2021-08-01,79.8,"min",0.2,NA,"молочна продукція та яйця"
"38","сметана жирністю до 15% включно",2021-08-01,56.25,"min",0.35,NA,"молочна продукція та яйця"
"39","сметана з підвищеним вмістом жиру",2021-08-01,45,"min",0.35,NA,"молочна продукція та яйця"
"40","йогурт",2021-08-01,31.21,"min",0.115,NA,"молочна продукція та яйця"
"41","морозиво",2021-08-01,15.9,"min",0.07,NA,"солодощі"
"42","кефір 2.5%",2021-08-01,21.6666666666667,"min",0.9,NA,"молочна продукція та яйця"
"43","масло вершкове 82%",2021-08-01,222.5,"min",0.2,NA,"молочна продукція та яйця"
"44","масло вершкове 73%",2021-08-01,158.75,"min",0.2,NA,"молочна продукція та яйця"
"45","маргарин",2021-08-01,78,"min",0.25,NA,"молочна продукція та яйця"
"46","яйця",2021-08-01,20.1,"min",1,NA,"молочна продукція та яйця"
"47","філе куряче",2021-08-01,48.16,"min",1,NA,"м’ясо"
"48","свинина",2021-08-01,119.95,"min",1,NA,"м’ясо"
