"name","month","price","measure","mode","category","inflation_dynamic","inflation","short_name","picture"
"батон","2021-08-01",43.9777777777778,"Q1",0.4,"хліб",101.3,100,"батон","bread.png"
"хліб цільнозерновий","2021-08-01",61.7272727272727,"Q1",0.3,"хліб",108.8,100,"хліб цільнозерновий","bread.png"
"хліб житньо-пшеничний","2021-08-01",43.3375,"Q1",0.4,"хліб",90.9,100,"хліб житньо-пшеничний","bread.png"
"хліб пшеничний","2021-08-01",34.4166666666667,"Q1",0.6,"хліб",104.6,100,"хліб пшеничний","bread.png"
"торти","2021-08-01",267.220588235294,"Q1",0.85,"солодощі",117,100,"торти","sweets.png"
"банани","2021-08-01",21.9,"Q1",1,"фрукти",85,100,"банани","fruits.png"
"лимони","2021-08-01",42.9,"Q1",1,"фрукти",75,100,"лимони","fruits.png"
"яблука","2021-08-01",22.2,"Q1",1,"фрукти",132,100,"яблука","fruits.png"
"апельсини","2021-08-01",48.9,"Q1",1,"фрукти",106.5,100,"апельсини","fruits.png"
"ківі","2021-08-01",99.5,"Q1",1,"фрукти",113,100,"ківі","fruits.png"
"мандарини","2021-08-01",43.9,"Q1",1,"фрукти",62,100,"мандарини","fruits.png"
"морква","2021-08-01",5.9,"Q1",1,"овочі",60,100,"морква","vegetables.png"
"кабачки","2021-08-01",10,"Q1",1,"овочі",59,100,"кабачки","vegetables.png"
"баклажани","2021-08-01",21.4,"Q1",1,"овочі",72,100,"баклажани","vegetables.png"
"перець солодкий","2021-08-01",26.65,"Q1",1,"овочі",82,100,"перець солодкий","vegetables.png"
"цибуля ріпчаста","2021-08-01",22.9,"Q1",1,"овочі",164,100,"цибуля ріпчаста","vegetables.png"
"картопля","2021-08-01",10.9,"Q1",1,"овочі",86,100,"картопля","vegetables.png"
"буряк","2021-08-01",22.375,"Q1",1,"овочі",210,100,"буряк","vegetables.png"
"капуста білокачанна","2021-08-01",5.4,"Q1",1,"овочі",115,100,"капуста білокачанна","vegetables.png"
"помідори","2021-08-01",117.4,"Q1",0.25,"овочі",67,100,"помідори","vegetables.png"
"часник","2021-08-01",69.9,"Q1",1,"овочі",240,100,"часник","vegetables.png"
"огірки","2021-08-01",21.9,"Q1",1,"овочі",62,100,"огірки","vegetables.png"
"гриби","2021-08-01",68.2211538461539,"Q1",0.25,"овочі",92.5,100,"гриби","vegetables.png"
"салати","2021-08-01",144.017857142857,"Q1",1,"овочі",94.9,100,"салати","vegetables.png"
"сухофрукти","2021-08-01",158.7,"Q1",0.2,"сухофрукти",98.3,100,"сухофрукти","dried_fruits.png"
"цукати","2021-08-01",255.633333333333,"Q1",0.15,"солодощі",100,100,"цукати","sweets.png"
"сири розсольні","2021-08-01",159.6,"Q1",1,"молочна продукція та яйця",78,100,"сири розсольні","milk.png"
"сири плавлені","2021-08-01",181.857142857143,"Q1",0.09,"молочна продукція та яйця",92.8,100,"сири плавлені","milk.png"
"крем-сир","2021-08-01",251.3,"Q1",0.125,"молочна продукція та яйця",96.7,100,"крем-сир","milk.png"
"молоко пастеризоване жирністю до 2,6% включно","2021-08-01",29.33,"Q1",0.9,"молочна продукція та яйця",96.5,100,"молоко 2.5%","milk.png"
"молоко з підвищеним вмістом жиру","2021-08-01",30.2016666666667,"Q1",0.95,"молочна продукція та яйця",95.3,100,"молоко 3.2%","milk.png"
"сири м’які нежирні","2021-08-01",128.979166666667,"Q1",0.2,"молочна продукція та яйця",99.51,100,"сири м’які нежирні","milk.png"
"сирки та сиркова маса","2021-08-01",146.357142857143,"Q1",0.2,"молочна продукція та яйця",107.6,100,"сирки та сиркова маса","milk.png"
"сири м’які жирні","2021-08-01",136.433333333333,"Q1",0.2,"молочна продукція та яйця",99.38,100,"сири м’які жирні","milk.png"
"сметана жирністю до 15% включно","2021-08-01",72.7933436532508,"Q1",0.35,"молочна продукція та яйця",99.25,100,"сметана 10-15%","milk.png"
"сметана з підвищеним вмістом жиру","2021-08-01",90.7142857142857,"Q1",0.35,"молочна продукція та яйця",93,100,"сметана 20%+","milk.png"
"йогурт","2021-08-01",57.0555555555556,"Q1",0.115,"молочна продукція та яйця",92.3,100,"йогурт","milk.png"
"морозиво","2021-08-01",172.309285714286,"Q1",0.07,"солодощі",111,100,"морозиво","sweets.png"
"кефір 2.5%","2021-08-01",33.2967320261438,"Q1",0.9,"молочна продукція та яйця",96.3,100,"кефір 2.5%","milk.png"
"масло вершкове 82%","2021-08-01",278.675,"Q1",0.2,"молочна продукція та яйця",111,100,"масло вершкове 82%","milk.png"
"масло вершкове 73%","2021-08-01",227.719444444444,"Q1",0.2,"молочна продукція та яйця",96.7,100,"масло вершкове 73%","milk.png"
"маргарин","2021-08-01",83.68,"Q1",0.25,"молочна продукція та яйця",98.7,100,"маргарин","milk.png"
