"name","month","price","measure","category","inflation_dynamic","inflation"
"батон","2021-08-01",43.9777777777778,"Q1","хліб",101.3,100
"хліб цільнозерновий","2021-08-01",61.7272727272727,"Q1","хліб",108.8,100
"хліб житньо-пшеничний","2021-08-01",43.3375,"Q1","хліб",90.9,100
"хліб пшеничний","2021-08-01",34.4166666666667,"Q1","хліб",104.6,100
"торти","2021-08-01",267.220588235294,"Q1","солодощі",117,100
"банани","2021-08-01",21.9,"Q1","фрукти",85,100
"лимони","2021-08-01",42.9,"Q1","фрукти",75,100
"кавуни","2021-08-01",13.2,"Q1","фрукти",220,100
"виноград","2021-08-01",53.55,"Q1","фрукти",98.3,100
"яблука","2021-08-01",22.2,"Q1","фрукти",132,100
"апельсини","2021-08-01",48.9,"Q1","фрукти",106.5,100
"ягоди","2021-08-01",178.25,"Q1","фрукти",54,100
"ківі","2021-08-01",99.5,"Q1","фрукти",113,100
"мандарини","2021-08-01",43.9,"Q1","фрукти",62,100
"морква","2021-08-01",5.9,"Q1","овочі",60,100
"кабачки","2021-08-01",10,"Q1","овочі",59,100
"баклажани","2021-08-01",21.4,"Q1","овочі",72,100
"перець солодкий","2021-08-01",26.65,"Q1","овочі",82,100
"цибуля ріпчаста","2021-08-01",22.9,"Q1","овочі",164,100
"картопля","2021-08-01",10.9,"Q1","овочі",86,100
"буряк","2021-08-01",22.375,"Q1","овочі",210,100
"капуста білокачанна","2021-08-01",5.4,"Q1","овочі",115,100
"помідори","2021-08-01",117.4,"Q1","овочі",67,100
"часник","2021-08-01",69.9,"Q1","овочі",240,100
"огірки","2021-08-01",21.9,"Q1","овочі",62,100
"гриби","2021-08-01",68.2211538461539,"Q1","овочі",92.5,100
"салати","2021-08-01",144.017857142857,"Q1","овочі",94.9,100
"сухофрукти","2021-08-01",158.7,"Q1","сухофрукти",98.3,100
"цукати","2021-08-01",255.633333333333,"Q1","солодощі",100,100
"сири розсольні","2021-08-01",159.6,"Q1","молочна продукція та яйця",78,100
"сири плавлені","2021-08-01",181.857142857143,"Q1","молочна продукція та яйця",92.8,100
"крем-сир","2021-08-01",251.3,"Q1","молочна продукція та яйця",96.7,100
