"item","weight","month","price","cpi","price_min","price_q1","cpi_min","cpi_q1","sample"
"рис",NA,2021-07-01,27.27,100.1,NA,NA,NA,NA,93
"борошно пшеничне",NA,2021-07-01,14.25,99.4,NA,NA,NA,NA,24
"яловичина",NA,2021-07-01,162.45,100.9,NA,NA,NA,NA,31
"свинина",NA,2021-07-01,120.67,100.4,NA,NA,NA,NA,14
"філе куряче",NA,2021-07-01,109.7,101.7,NA,NA,NA,NA,23
"ковбаси варені вґ",NA,2021-07-01,167.43,100.3,NA,NA,NA,NA,29
"ковбаси варені 1ґ",NA,2021-07-01,113.56,101.7,NA,NA,NA,NA,14
"сосиски, сардельки вґ",NA,2021-07-01,158.45,100.4,NA,NA,NA,NA,45
"морепродукти",NA,2021-07-01,184.41,98.7,NA,NA,NA,NA,115
"молоко 2.5%",NA,2021-07-01,26.5,100.3,NA,NA,NA,NA,37
"молоко 3.2%",NA,2021-07-01,26.45,99.6,NA,NA,NA,NA,27
"сметана 10-15%",NA,2021-07-01,69.28,101.1,NA,NA,NA,NA,47
"олія оливкова",NA,2021-07-01,297.15,99.7,NA,NA,NA,NA,101
"олія соняшникова",NA,2021-07-01,64.73,99.3,NA,NA,NA,NA,42
"апельсини",NA,2021-07-01,30.72,102.4,NA,NA,NA,NA,13
"яблука",NA,2021-07-01,21.42,100.7,NA,NA,NA,NA,46
"сухофрукти",NA,2021-07-01,125.56,102,NA,NA,NA,NA,71
"картопля",NA,2021-07-01,11.79,88.8,NA,NA,NA,NA,19
"цукор",NA,2021-07-01,27.63,106.7,NA,NA,NA,NA,11
"мед",NA,2021-07-01,139.23,103.6,NA,NA,NA,NA,78
"цукерки шоколадні",NA,2021-07-01,164.39,100.5,NA,NA,NA,NA,71
"морозиво",100,2021-07-01,19.78,100.7,NA,NA,NA,NA,408
"кава мелена",250,2021-07-01,83.92,99.7,NA,NA,NA,NA,206
"горілка",500,2021-07-01,93.61,100.2,NA,NA,NA,NA,193
"рис",NA,2021-08-01,27.4,99.8,20.3,40.2132547169811,NA,NA,93
"борошно пшеничне",NA,2021-08-01,14.3,100.3,13.7,17.35,NA,NA,24
"яловичина",NA,2021-08-01,165,101.6,181.95,199.95,NA,NA,31
"свинина",NA,2021-08-01,122.11,101.2,119.95,159.95,NA,NA,14
"філе куряче",NA,2021-08-01,111.39,101.5,48.16,130.95,NA,NA,23
"ковбаси варені вґ",NA,2021-08-01,167.82,100.1,117,152.975,NA,NA,29
"ковбаси варені 1ґ",NA,2021-08-01,113.06,99.9,59.5402298850575,104.130714285714,NA,NA,14
"сосиски, сардельки вґ",NA,2021-08-01,159.73,101.1,98.5818181818182,170.411666666667,NA,NA,45
"морепродукти",NA,2021-08-01,186.2,101.1,31.6666666666667,214.5,NA,NA,115
"молоко 2.5%",NA,2021-08-01,26.62,100.6,23.2716650438169,29.33,NA,NA,37
"молоко 3.2%",NA,2021-08-01,26.53,100.4,24.2453748782863,30.2016666666667,NA,NA,27
"сметана 10-15%",NA,2021-08-01,70.37,100.9,56.25,72.7933436532508,NA,NA,47
"олія оливкова",NA,2021-08-01,302.08,101.8,168.24,332.16,NA,NA,101
"олія соняшникова",NA,2021-08-01,64.33,99,52.4705882352941,69.395,NA,NA,42
"апельсини",NA,2021-08-01,36.05,116.9,45.9,48.9,NA,NA,13
"яблука",NA,2021-08-01,20.13,90.3,19.9,22.2,NA,NA,46
"сухофрукти",NA,2021-08-01,128.47,101.8,61.9,158.7,NA,NA,71
"картопля",NA,2021-08-01,8.66,73.3,6.8,10.9,NA,NA,19
"цукор",NA,2021-08-01,28.7,103.6,27.4,29.555,NA,NA,11
"мед",NA,2021-08-01,142.28,101.9,65.45,154,NA,NA,78
"цукерки шоколадні",NA,2021-08-01,164.63,100.5,126.6,226.656730769231,NA,NA,71
"морозиво",100,2021-08-01,19.84,100.1,1.59,17.2309285714286,NA,NA,408
"кава мелена",250,2021-08-01,83.91,99.2,45.9,70.6333333333333,NA,NA,206
"горілка",500,2021-08-01,93.7,100.1,89.4,90.3694444444445,NA,NA,193
"рис",NA,2021-09-01,27.65,100.6,20.3,41.3725,100,102.9,93
"борошно пшеничне",NA,2021-09-01,14.38,100.6,13.7,15.4444444444444,100,89,24
"яловичина",NA,2021-09-01,172.04,104.2,125.95,217.95,69,109,31
"свинина",NA,2021-09-01,124.45,102,99.5,117.95,83,74,14
"філе куряче",NA,2021-09-01,115.1,103,52.82,128.585,109.7,98.2,23
"ковбаси варені вґ",NA,2021-09-01,169.18,101,117,159.04,100,104,29
"ковбаси варені 1ґ",NA,2021-09-01,112.96,99.9,59.5402298850575,106.6175,100,102.4,14
"сосиски, сардельки вґ",NA,2021-09-01,160.1,100.5,98.5818181818182,170.536666666667,100,100.073,45
"морепродукти",NA,2021-09-01,187.6,99.9,11.9,225.115079365079,38,104.9,115
"молоко 2.5%",NA,2021-09-01,27.2,102.3,26.1927945472249,30.3916666666667,113,103.6,37
"молоко 3.2%",NA,2021-09-01,26.95,101.8,29.1139240506329,31.7,120,105,27
"сметана 10-15%",NA,2021-09-01,71.67,101.5,33.8840579710145,73.3458646616541,60,100.76,47
"олія оливкова",NA,2021-09-01,298.17,98.8,115,328.715,68,99,101
"олія соняшникова",NA,2021-09-01,63.71,99.1,52.4705882352941,68.3783333333333,100,98.5,42
"апельсини",NA,2021-09-01,42.53,116.9,44.5,45.9,96.9,93.9,13
"яблука",NA,2021-09-01,17.67,89.1,11.9,16.8,60,76,46
"сухофрукти",NA,2021-09-01,129.53,100.6,61.9,161.5,100,101.8,71
"картопля",NA,2021-09-01,8.32,96,7.8,12.7,115,117,19
"цукор",NA,2021-09-01,28.69,99.9,27.4,28,100,94.7,11
"мед",NA,2021-09-01,143.55,100.7,139.6,151.48,210,98.4,78
"цукерки шоколадні",NA,2021-09-01,165.96,100.8,123.9,309.465,97.9,137,71
"морозиво",100,2021-09-01,19.69,99.3,2.39,15.5714285714286,150,90.4,408
"кава мелена",250,2021-09-01,83.5,99.5,46.91,69.4875,102.2,98.4,206
"горілка",500,2021-09-01,93.84,100.3,89.4,92.1071428571429,100,101.9,193
"рис",NA,2021-10-01,27.88,100.8,20.3,40.57,100,98.1,93
"борошно пшеничне",NA,2021-10-01,14.48,100.5,13.45,15.4444444444444,98.2,100,24
"яловичина",NA,2021-10-01,175.51,101.9,125.95,217.95,100,100,31
"свинина",NA,2021-10-01,124.58,100,93.9,121.95,94.4,103.4,14
"філе куряче",NA,2021-10-01,117.47,102.1,52.82,126.7375,100,98.6,23
"ковбаси варені вґ",NA,2021-10-01,171.9,101.7,117,166.375,100,104.6,29
"ковбаси варені 1ґ",NA,2021-10-01,115.56,102.2,59.5402298850575,106.83,100,100.2,14
"сосиски, сардельки вґ",NA,2021-10-01,160.86,100.5,98.5818181818182,174.042553191489,100,102.1,45
"морепродукти",NA,2021-10-01,188.12,100.2,11.9,197.15,100,88,115
"молоко 2.5%",NA,2021-10-01,27.63,101.4,24.3333333333333,29.0333333333333,92.9,95.5,37
"молоко 3.2%",NA,2021-10-01,27.76,102.9,29.1139240506329,32.87,100,103.7,27
"сметана 10-15%",NA,2021-10-01,72.96,101.8,38.8,77.4710424710425,115,105.6,47
"олія оливкова",NA,2021-10-01,301.08,101.2,115,340.55,100,103.6,101
"олія соняшникова",NA,2021-10-01,62.69,98.4,52.4705882352941,67.764705882353,100,99.1,42
"апельсини",NA,2021-10-01,44.82,104.8,42.9,44.5,96.4,96.9,13
"яблука",NA,2021-10-01,14.84,81.4,8.9,16.8,75,100,46
"сухофрукти",NA,2021-10-01,136.11,104.8,61.9,156,100,96.6,71
"картопля",NA,2021-10-01,8.69,104.2,7.3,12.795,93.6,100.75,19
"цукор",NA,2021-10-01,27.8,96.9,25.8333333333333,27.975,94.3,99.911,11
"мед",NA,2021-10-01,146.06,101.6,65.45,170.475,47,113,78
