"Середні споживчі ціни на продукти харчування, алкогольні напої, тютюнові вироби у 2021 році по Україні1",,,,,,
,,,,,,"(грн за кг, л)"
,,Липень,Серпень,Вересень,Жовтень,Листопад
1,Рис,"27,27","27,4","27,65","27,88","28,2"
2,Хліб пшеничний з борошна вищого ґатунку,"29,9","30,3","30,84","31,57","32,41"
3,Хліб пшеничний з борошна першого ґатунку,"23,86","23,91","24,48","25,18","25,78"
4,"Хліб житній, житньо-пшеничний","24,9","24,95","25,33","26,05","26,69"
5,Хліб заварний (500 г),"20,33","20,45","20,71","21,2","21,63"
6,Батон (500 г),"16,41","16,43","16,68","17,1","17,55"
7,Багет (250 г),"11,46","11,48","11,59","11,79","11,95"
8,Макаронні вироби з твердих сортів пшениці (500 г),"29,32","29,16","29,27","29,48","29,85"
9,Макаронні вироби з м’яких сортів пшениці,"23,19","23,19","23,15","23,3","23,89"
10,Пельмені ,"104,37","104,67","105,27","106,71","107,83"
11,Здобні вироби (100 г),"10,13","10,22","10,39","10,56","10,74"
12,Вафлі,"84,25","85,15","86,41","87,91","89,38"
13,Печиво здобне,"84,7","86,26","87,01","88,97","90,79"
14,Печиво сухе,"65,09","66,23","66,85","68,69","70,38"
15,Торти,"174,24","175,45","175,76","179,55","184,21"
16,Борошно пшеничне,"14,25","14,3","14,38","14,48","14,66"
17,Крупи манні,"17,01","16,91","17,06","17,29","17,69"
18,Крупи гречані,"42,07","42,2","42,54","43,44","46,33"
19,Пластівці вівсяні,"30,28","30,04","30,02","29,59","30,19"
20,Крупи ячні,"15,27","15,01","14,96","15,06","15,44"
21,Пшоно,"17,55","17,11","17,25","17,48","18,14"
22,Яловичина,"162,45",165,"172,04","175,51","179,37"
23,Вирізка яловича,"223,66","226,56","234,62","241,36","247,43"
24,Натуральні напівфабрикати з яловичини,"174,35","177,09","184,93","190,02","192,66"
25,Свинина,"120,67","122,11","124,45","124,58","123,84"
26,Вирізка свиняча,"147,56","149,04","151,6","153,08","152,74"
27,Натуральні напівфабрикати зі свинини,"135,12","136,51","138,13","138,73","138,38"
28,Птиця (тушки курячі),"69,34","69,94","71,4","72,42","71,02"
29,Окремі порційні частини курячі,"71,4","71,67","73,22","74,01","72,66"
30,Філе куряче,"109,7","111,39","115,1","117,47","117,41"
31,Ковбаси варені вищого ґатунку,"167,43","167,82","169,18","171,9","175,94"
32,Ковбаси варені першого ґатунку,"113,56","113,06","112,96","115,56","116,41"
33,"Сосиски, сардельки вищого ґатунку","158,45","159,73","160,1","160,86","166,76"
34,"Сосиски, сардельки першого ґатунку","116,01",116,"117,23","117,66","121,91"
35,Ковбаси варено-копчені,"195,78","198,99","202,12","204,33","208,46"
36,Ковбаси сирокопчені,"337,05","338,86","341,21","344,66","352,59"
37,Вироби з м’яса варено-копчені,"214,8","218,6","219,76","223,27","227,95"
38,Вироби з м’яса делікатесні,"265,22","264,35","265,25","267,97","275,26"
39,Субпродукти яловичі,"65,69","65,75","66,28","67,37","68,55"
