,,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01
1,Рис,"201,5","216,0","253,4","244,0","222,4","203,6","191,3","182,0","172,4","162,1","151,2","135,0","117,1","106,8","82,4","78,1","80,6","84,2","86,0","87,5","89,8","91,7","93,5","96,0"
2,Хліб пшеничний з борошна вищого ґатунку,"129,1","137,2","166,5","175,3","168,5","163,7","161,2","158,1","153,0","148,6","148,0","146,7","143,8","136,1","112,0","104,3","104,3","104,6","104,1","104,6","105,3","105,9","106,8","107,0"
3,Хліб пшеничний з борошна першого ґатунку,"132,6","140,4","173,7","180,0","171,6","169,0","166,3","162,1","155,0","149,4","147,7","147,4","144,1","136,9","110,3","104,9","105,2","104,6","104,8","105,0","105,3","104,5","105,6","107,5"
4,"Хліб житній, житньо-пшеничний","129,5","137,3","165,0","170,0","161,8","158,8","157,2","155,0","148,8","144,0","143,9","144,0","141,2","133,6","110,7","105,4","105,4","105,4","105,3","105,3","106,2","107,2","108,4","108,2"
5,Хліб заварний,"126,2","133,4","163,5","168,3","162,0","158,8","157,9","156,0","151,9","148,3","146,4","145,7","143,0","135,9","111,0","105,4","105,4","105,2","104,9","105,0","105,7","106,8","108,6","109,1"
6,Батон ,"129,7","138,0","172,1","179,4","174,2","169,3","166,1","162,5","156,2","150,2","148,4","146,8","143,0","134,7","108,3","101,8","100,4","101,3","101,9","102,1","102,8","104,2","105,7","106,5"
7,Багет ,"131,2","139,5","168,3","175,4","175,0","169,9","163,3","150,6","147,4","143,0","142,7","139,6","140,2","132,8","110,3","104,3","102,4","101,8","100,9","104,4","106,0","106,1","107,6","108,5"
8,Макаронні вироби з твердих сортів пшениці,"133,9","140,0","174,3","188,7","185,8","180,1","175,5","177,0","173,1","165,9","162,4","157,5","152,7","145,0","115,0","104,4","101,1","100,9","101,1","99,1","99,7","100,8","100,9","101,0"
9,Макаронні вироби з м’яких сортів пшениці,"130,6","140,5","175,6","193,9","185,8","176,8","170,6","163,1","158,9","155,3","152,3","149,9","147,3","137,0","108,9","96,5","95,4","96,5","98,1","100,0","101,2","102,5","102,8","102,0"
10,"Вареники, пельмені  ","123,7","126,8","133,3","137,9","138,2","137,9","136,2","135,4","134,8","131,8","129,9","127,5","126,6","122,9","117,5","112,8","110,5","108,7","108,0","108,0","107,5","106,8","106,4","107,1"
