index,title,weight_to_show,"weight, кг",img,price,time,month
1,банани,1 кг,1,fruits.png,25.8,півроку тому,09/2021
2,свинина,1 кг,1,meat.png,118,півроку тому,09/2021
3,олія соняшникова,1 л,1,oil.png,58.1,півроку тому,09/2021
4,рис,1 кг,1,groceries.png,41.4,півроку тому,09/2021
5,молоко 2.5%,1 л,1,milk.png,27.4,півроку тому,09/2021
6,шампанське,0.75л,0.75,alcohol.png,156.5,півроку тому,09/2021
7,батон,400 гр,0.4,bread.png,17.4,півроку тому,09/2021
8,сигарети преміум класу,пачка,пачка,cigarettes.png,62.5,півроку тому,09/2021
9,кава розчинна,100 гр,0.1,coffee_tea.png,83.5,півроку тому,09/2021
10,сухофрукти,200 гр,0.2,dried_fruits.png,32.3,півроку тому,09/2021
11,риба річна,1 кг,1,fish.png,119.9,півроку тому,09/2021
12,"ковбаса варено-копчена, в/ґ",1 кг,1,sausage.png,224.4,півроку тому,09/2021
13,помідори,1 кг,1,vegetables.png,34.9,півроку тому,09/2021
